term,justiceName,MQscore,MQrank,MQswing.total,case.load,liberal.vote.total,liberal.vote.pct
2010,AScalia,2.105,8,0,84,32,0.38095238095238093
2010,AMKennedy,0.572,5,12,84,30,0.35714285714285715
2010,CThomas,3.17,9,3,84,27,0.32142857142857145
2010,RBGinsburg,-2.086,1,0,84,47,0.5595238095238095
2010,SGBreyer,-1.395,4,0,84,43,0.5119047619047619
2010,SAAlito,1.953,7,0,84,24,0.2857142857142857
2010,SSotomayor,-1.652,2,0,84,44,0.5238095238095238
2010,EKagan,-1.426,3,0,84,30,0.35714285714285715
2011,JGRoberts,1.187,6,1,77,29,0.37662337662337664
2011,AScalia,2.029,8,0,77,25,0.3246753246753247
2011,AMKennedy,0.291,5,8,77,30,0.38961038961038963
2011,CThomas,3.137,9,3,77,22,0.2857142857142857
2011,RBGinsburg,-2.359,1,0,77,44,0.5714285714285714
2011,SGBreyer,-1.395,4,2,77,37,0.4805194805194805
2011,SAAlito,1.961,7,0,77,26,0.33766233766233766
2011,SSotomayor,-1.821,2,0,77,43,0.5584415584415584
2011,EKagan,-1.417,3,0,77,41,0.5324675324675324
2012,JGRoberts,1.092,6,0,79,32,0.4050632911392405
2012,AScalia,1.7,7,1,79,32,0.4050632911392405
2012,AMKennedy,0.24,5,12,79,36,0.45569620253164556
2012,CThomas,3.085,9,4,79,29,0.3670886075949367
2012,RBGinsburg,-2.474,1,2,79,50,0.6329113924050633
2012,SGBreyer,-1.383,4,3,79,42,0.5316455696202531
2012,SAAlito,1.943,8,0,79,28,0.35443037974683544
2012,SSotomayor,-2.247,2,0,79,50,0.6329113924050633
2012,EKagan,-1.666,3,0,79,49,0.620253164556962
2013,JGRoberts,0.787,6,1,75,41,0.5466666666666666
2013,AScalia,1.563,7,0,75,39,0.52
2013,AMKennedy,0.064,5,5,75,39,0.52
2013,CThomas,3.103,9,1,75,37,0.49333333333333335
2013,RBGinsburg,-2.483,2,2,75,44,0.5866666666666667
2013,SGBreyer,-1.462,4,1,75,44,0.5866666666666667
2013,SAAlito,1.88,8,0,75,35,0.4666666666666667
2013,SSotomayor,-2.535,1,0,75,49,0.6533333333333333
2013,EKagan,-1.636,3,0,75,44,0.5866666666666667
2014,JGRoberts,0.578,6,1,70,35,0.5
2014,AScalia,1.483,7,0,70,31,0.44285714285714284
2014,AMKennedy,-0.231,5,11,70,35,0.5
2014,CThomas,3.093,9,0,70,23,0.32857142857142857
2014,RBGinsburg,-2.58,2,0,70,48,0.6857142857142857
2014,SGBreyer,-1.563,4,1,70,44,0.6285714285714286
2014,SAAlito,1.683,8,2,70,26,0.37142857142857144
2014,SSotomayor,-2.789,1,3,70,46,0.6571428571428571
2014,EKagan,-1.692,3,0,70,45,0.6428571428571429
2015,JGRoberts,0.315,6,0,81,34,0.41975308641975306
2015,AScalia,1.559,7,0,18,5,0.2777777777777778
2015,AMKennedy,-0.28,5,2,81,37,0.4567901234567901
2015,CThomas,3.109,9,0,81,32,0.3950617283950617
2015,RBGinsburg,-2.711,2,0,81,40,0.49382716049382713
2015,SGBreyer,-1.471,4,0,81,38,0.4691358024691358
2015,SAAlito,1.561,8,0,81,23,0.2839506172839506
2015,SSotomayor,-2.955,1,0,81,43,0.5308641975308642
2015,EKagan,-1.596,3,0,81,38,0.4691358024691358
2016,JGRoberts,0.339,6,0,69,31,0.4492753623188406
2016,AMKennedy,-0.054,5,3,69,36,0.5217391304347826
2016,CThomas,3.119,8,0,69,26,0.37681159420289856
2016,RBGinsburg,-2.797,2,0,69,43,0.6231884057971014
2016,SGBreyer,-1.52,4,0,69,40,0.5797101449275363
2016,SAAlito,1.735,7,0,69,28,0.4057971014492754
2016,SSotomayor,-3.102,1,0,69,42,0.6086956521739131
2016,EKagan,-1.643,3,0,69,41,0.5942028985507246
2016,NMGorsuch,1.219,7,0,44,3,0.06818181818181818
2017,JGRoberts,0.405,6,2,76,29,0.3815789473684211
2017,AMKennedy,0.394,5,12,76,30,0.39473684210526316
2017,CThomas,3.034,9,2,76,19,0.25
2017,RBGinsburg,-2.835,2,0,76,47,0.618421052631579
2017,SGBreyer,-1.697,4,0,76,44,0.5789473684210527
2017,SAAlito,1.894,8,0,76,18,0.23684210526315788
2017,SSotomayor,-3.246,1,0,76,46,0.6052631578947368
2017,EKagan,-1.708,3,0,76,43,0.5657894736842105
2017,NMGorsuch,1.176,7,1,76,26,0.34210526315789475
